id,beds,baths,size,furnish,area_1,area_2,area_3,area_4,area_5,id,description,referral,price,type,rent,postDate
3586,1,2,"1,038",No,UAE,Dubai,Dubai South,Residential City,NULL,3586,UNTIL 2CHQS | MASSIVE 3BR @90K,TIME-MARINA-SAME923,"AED 90,000 /yr",apartment,Biyearly,"September 23rd, 2020"
3587,2,2,"1,068",No,UAE,Dubai,Dubai Marina,Yacht Bay,NULL,3587,Large 1BHK Flat With Balcony For rent in Skycourt Towers,E525 Sky JALAL ,"AED 29,000 /yr",apartment,Quarterly,"September 17th, 2020"
3588,1,2,942,No,UAE,Dubai,Dubai Sports City,The Matrix Tower,NULL,3588,1  Month Free-1BR Hall-Pool-gym—Close to Pond park,Muhammad-Nahda 2DG,"AED 29,980 /yr",apartment,Quarterly,"September 22nd, 2020"
3589,1,1,780,No,UAE,Dubai,JVC Jumeirah Village Circle,JVC District 15,NULL,3589,Amazing Lake View|Spacious Layout 1 bed|Available to move in!,TM/1BHK/BB/CT,"AED 51,999 /yr",apartment,Yearly,"September 23rd, 2020"
3590,2,1,"1,216",No,UAE,Dubai,Bur Dubai,NULL,NULL,3590,POOL FACING | STD WITH BALCONY @25K,DIA-JVC-923,"AED 25,000 /yr",apartment,Yearly,"September 23rd, 2020"
3591,2,2,"1,097",No,UAE,Dubai,DIFC,NULL,NULL,3591,MASSIVE 2BR @55K,DV4-JVC-923,"AED 55,000 /yr",apartment,Yearly,"September 23rd, 2020"
3592,1,2,"1,000",No,UAE,Dubai,JVC Jumeirah Village Circle,JVC District 13,NULL,3592,Spacious 1bhk flat in 36k 6cheque near Mall of Emirates,A1813653,"AED 36,000 /yr",apartment,Quarterly,"September 23rd, 2020"
3593,1,2,943,No,UAE,Dubai,Motor City,Weston Court,NULL,3593,2 bed nice and big APARTMENT in AL WARQAA area only 48k look like brand new,Sm.2b48warqa,"AED 48,000 /yr",apartment,Quarterly,"September 23rd, 2020"
3594,2,3,"1,320",No,UAE,Dubai,Al Barsha,Al Barsha 1,NULL,3594,Brand new 1bhk one month free close to Mall of Emirates in 44k/6cheq,A1813650,"AED 44,000 /yr",apartment,Quarterly,"September 23rd, 2020"
3595,NULL,1,218,No,UAE,Dubai,Bur Dubai,Al Mankhool,NULL,3595,NEW 2bhk with 2balcony in  55k/4cheq 3washroom near Mall of Emirates,A1813649,"AED 55,000 /yr",apartment,Quarterly,"September 23rd, 2020"
3596,1,2,"1,100",No,UAE,Dubai,JLT Jumeirah Lake Towers,Lake Elucio,NULL,3596,NULL,NULL,None,apartment,NULL,NULL
3597,1,2,770,No,UAE,Dubai,Business Bay,Westburry Square,NULL,3597,NULL,NULL,None,apartment,NULL,NULL
3598,1,2,972,No,UAE,Dubai,JLT Jumeirah Lake Towers,Lake Elucio,NULL,3598,NULL,NULL,None,apartment,NULL,NULL
3599,3,4,"2,092",No,UAE,Dubai,Business Bay,Marquise Square,NULL,3599,NULL,NULL,None,apartment,NULL,NULL
3600,1,2,819,No,UAE,Dubai,Downtown Dubai,Burj Al Nujoom,NULL,3600,Pool view STUDIO Apartment in Hercules Tower - Living Legend,TV-ST-HTLL,"AED 22,000 /yr",apartment,Yearly,"September 23rd, 2020"
3601,2,3,"1,329",No,UAE,Dubai,Dubai Marina,Elite Residence,NULL,3601,NULL,NULL,None,apartment,NULL,NULL
3602,1,2,854,No,UAE,Dubai,JLT Jumeirah Lake Towers,Lake Elucio,NULL,3602,FULLY FURNISHED -Nice and well maintained  Studio apartment,TV-OT-FF-ST,"AED 40,000 /yr",apartment,Yearly,"September 23rd, 2020"
3603,2,3,"1,332",No,UAE,Dubai,Downtown Dubai,Burj Vista,NULL,3603,"ONLY 42K!!! 1 BEDROOM APARTMENT NEAR TO METRO IN ONTARIO TOWER, BUSINESS BAY.",TV-OT-1BrnoBal,"AED 42,000 /yr",apartment,Yearly,"September 23rd, 2020"
3604,1,2,"1,012",No,UAE,Dubai,JLT Jumeirah Lake Towers,Lake Elucio,NULL,3604,"For 55K only!! 2 bedroom for Rent in Ontario Tower, Business Bay",TV-OT-2bedroom,"AED 55,000 /yr",apartment,Yearly,"September 23rd, 2020"
3605,NULL,1,216,No,UAE,Dubai,Bur Dubai,Al Mankhool,NULL,3605,Amazing Marina ViewI Bright Apartment  High floor,R1037,"AED 105,000 /yr",apartment,NULL,"September 23rd, 2020"
3606,2,3,"1,329",No,UAE,Dubai,Dubai Marina,Elite Residence,NULL,3606,Ready To Move In With Hotel View in Business Bay,R825,"AED 88,999 /yr",apartment,NULL,"September 23rd, 2020"
3607,2,3,"1,294",No,UAE,Dubai,JBR Jumeirah Beach Residence,Bahar,NULL,3607,Spacious and bright apartment on higher floor,R388,"AED 80,000 /yr",apartment,NULL,"September 23rd, 2020"
3608,1,1,967,No,UAE,Dubai,JLT Jumeirah Lake Towers,Lake Elucio,NULL,3608,Enjoy one month free in this Amazing Spacious Layout with Great View,R492,"AED 150,000 /yr",apartment,NULL,"September 23rd, 2020"
3609,NULL,1,452,No,UAE,Dubai,Downtown Dubai,Burj Al Nujoom,NULL,3609,Affordable Studio ApartmentI 12 ChequesI Bur Dubai,R634,"AED 25,000 /yr",apartment,NULL,"September 23rd, 2020"
3610,NULL,1,200,No,UAE,Dubai,Bur Dubai,Al Mankhool,NULL,3610,A must See Modern Apartment with high finishing,R983,"AED 120,000 /yr",apartment,NULL,"September 23rd, 2020"
3611,2,3,"1,583",No,UAE,Dubai,The Palm Jumeirah,Shoreline Apartments,NULL,3611,"Cozy 1 Bedroom near DIP, DWC and Expo 2020",RC-ADI-0022,"AED 22,000 /yr",apartment,Yearly,"September 23rd, 2020"
3612,NULL,1,216,No,UAE,Dubai,Bur Dubai,Al Mankhool,NULL,3612,Large 1 Bedroom near Expo 2020,RC-ADI-0032,"AED 32,000 /yr",apartment,Quarterly,"September 23rd, 2020"
3613,2,4,"1,704",Yes,UAE,Dubai,JBR Jumeirah Beach Residence,Al Bateen Residence,NULL,3613,Marina View | Fitted Kitchen | 2 Bedrooms,dub_SUP171605_L,"AED 70,000 /yr",apartment,NULL,"September 23rd, 2020"
3614,4,4,"2,157",No,UAE,Dubai,JLT Jumeirah Lake Towers,Lake Elucio,NULL,3614,PAY 4CHQS | BALCONY | FURNISHED 1 BED,MAT-SPORTS3-ALLWYN,"AED 45,200 /yr",apartment,Quarterly,"September 23rd, 2020"
3615,2,3,"1,331",No,UAE,Dubai,Dubai Marina,Elite Residence,NULL,3615,PAY 2CHQS | | MASSIVE 1BR,SEA-JVC1-923,"AED 27,000 /yr",apartment,Biyearly,"September 23rd, 2020"
3616,2,3,"1,496",No,UAE,Dubai,JLT Jumeirah Lake Towers,Lake Elucio,NULL,3616,ZERO Commission! | 1 Months FREE!,1161-Ap-R-0399,"AED 70,000 /yr",apartment,NULL,"September 23rd, 2020"
3617,3,3,"1,976",No,UAE,Dubai,JLT Jumeirah Lake Towers,Lake Elucio,NULL,3617,Free move | Chiller free | Visit with your phone,1591615421,"AED 77,000 /yr",apartment,Monthly,"September 23rd, 2020"
3618,2,3,"1,550",No,UAE,Dubai,Barsha Heights (Tecom),NULL,NULL,3618,Huge 1BHK | Reduced Price | High-Quality,R-PR-1BR,"AED 38,000 /yr",apartment,Yearly,"September 23rd, 2020"
3619,NULL,1,451,Yes,UAE,Dubai,JVC Jumeirah Village Circle,JVC District 13,NULL,3619,Garden views | Kitchen appliances | Flexible payment,1593610613,"AED 53,000 /yr",apartment,Monthly,"September 23rd, 2020"
3620,3,5,"2,000",Yes,UAE,Dubai,Downtown Dubai,The Address Sky View Towers,NULL,3620,NEW 2bhk flat 3washroom balcony near Mall of Emirates in 55k/4cheq,A1813648,"AED 55,000 /yr",apartment,Quarterly,"September 23rd, 2020"
3621,2,2,"1,350",No,UAE,Dubai,Al Warqaa,Al Warqaa 1,NULL,3621,Affordable  Easy Access StudioI12 Cheques,R735,"AED 28,000 /yr",apartment,NULL,"September 23rd, 2020"
3622,2,2,926,No,UAE,Dubai,NSHAMA Town Square,Zahra Breeze Apartments,NULL,3622,Spacious One Bedroom for rent in Madina Tower,R899,"AED 55,000 /yr",apartment,NULL,"September 23rd, 2020"
3623,1,1,568,No,UAE,Dubai,Bur Dubai,Al Raffa,NULL,3623,Near Burj Khalifa New Building with Kitchen Appliances,R878,"AED 62,999 /yr",apartment,NULL,"September 23rd, 2020"
3624,1,2,730,No,UAE,Dubai,International City,Greece Cluster,NULL,3624,High Floor Duplex Unit With Sheikh Zayed View,R832,"AED 60,000 /yr",apartment,NULL,"September 23rd, 2020"
3625,3,4,"1,894",No,UAE,Dubai,JBR Jumeirah Beach Residence,Rimal,NULL,3625,Stunning Canal View Spacious New Apartment,R987,"AED 150,000 /yr",apartment,NULL,"September 23rd, 2020"
3626,NULL,2,"6,500",No,UAE,Dubai,Bur Dubai,Al Mankhool,NULL,3626,Spacious Apartment With Big Balcony Near Burj Khalifa,R81,"AED 55,000 /yr",apartment,NULL,"September 23rd, 2020"
3627,2,3,"18,537",No,UAE,Dubai,JLT Jumeirah Lake Towers,Lake Elucio,NULL,3627,Media Side View in Elite Next to Tram Marina,R233,"AED 72,000 /yr",apartment,NULL,"September 23rd, 2020"
3628,2,3,"1,536",No,UAE,Dubai,Dubai Marina,NULL,NULL,3628,Duplex on a higher floor with golf course view,R868,"AED 55,000 /yr",apartment,NULL,"September 23rd, 2020"
3629,2,3,"1,026",No,UAE,Dubai,Dubai Marina,Marina Diamond,NULL,3629,Brand New Aprtment with SZR and Boulevrd view,R835,"AED 115,000 /yr",apartment,NULL,"September 23rd, 2020"
3630,2,3,"1,800",No,UAE,Dubai,JBR Jumeirah Beach Residence,Bahar,NULL,3630,Semi furnished apartment available immediately,R997,"AED 72,000 /yr",apartment,NULL,"September 23rd, 2020"
3631,2,3,"1,335",No,UAE,Dubai,Al Furjan,NULL,NULL,3631,Studio With 1 Month free 12 Chqs,R612,"AED 28,000 /yr",apartment,NULL,"September 23rd, 2020"
3632,NULL,1,200,No,UAE,Dubai,Bur Dubai,Al Mankhool,NULL,3632,2 BR in Elite Residences with lovely partial Sea View,R222,"AED 76,000 /yr",apartment,NULL,"September 23rd, 2020"
3633,2,3,"1,496",No,UAE,Dubai,JLT Jumeirah Lake Towers,Lake Elucio,NULL,3633,"High Floor With White Goods,Sea  Marina View",R931,"AED 85,000 /yr",apartment,NULL,"September 23rd, 2020"
3634,1,2,827,No,UAE,Dubai,Downtown Dubai,Standpoint Towers,NULL,3634,Well ventilated apartment with great view,R1014,"AED 50,000 /yr",apartment,NULL,"September 23rd, 2020"
3635,2,3,"2,336",Yes,UAE,Dubai,DIFC,NULL,NULL,3635,Studio | Close to Burj Khalifa | Big Balcony,R87,"AED 36,000 /yr",apartment,NULL,"September 23rd, 2020"
3636,1,2,"1,000",Yes,UAE,Dubai,Downtown Dubai,The Old Town Island,NULL,3636,Well Maintained Affordable Studio I 12 Cheques,R631,"AED 25,000 /yr",apartment,NULL,"September 23rd, 2020"
3637,3,4,"2,246",Yes,UAE,Dubai,Downtown Dubai,NULL,NULL,3637,Road View Type E apartment in Al Dabas,R930,"AED 120,000 /yr",apartment,NULL,"September 23rd, 2020"
3638,3,NULL,"1,961",No,UAE,Dubai,Downtown Dubai,South Ridge,NULL,3638,One Month FreeI Clean and Affordable Studio,R714,"AED 28,000 /yr",apartment,NULL,"September 23rd, 2020"
3639,1,2,860,No,UAE,Dubai,Al Barsha,Al Barsha 1,NULL,3639,Luxury Furnished Apartment with Full Sea View,R40,"AED 120,000 /yr",apartment,NULL,"September 23rd, 2020"
3640,1,2,610,No,UAE,Dubai,JVC Jumeirah Village Circle,JVC District 12,NULL,3640,Fabulous 4 Bedrooms Facing Sheikh Zayed Road for Rent,R280,"AED 125,000 /yr",apartment,NULL,"September 23rd, 2020"
3641,NULL,1,320,No,UAE,Dubai,JVC Jumeirah Village Circle,JVC District 12,NULL,3641,Media View in Elite Next to Tram Marina,R368,"AED 72,000 /yr",apartment,NULL,"September 23rd, 2020"
3642,1,2,610,No,UAE,Dubai,JVC Jumeirah Village Circle,JVC District 12,NULL,3642,2 Bedroom With Amazing View and Layout for Rent,R297,"AED 83,000 /yr",apartment,NULL,"September 23rd, 2020"
3643,NULL,1,320,No,UAE,Dubai,JVC Jumeirah Village Circle,JVC District 12,NULL,3643,Book today and get one month  free,R1006,"AED 90,000 /yr",apartment,NULL,"September 23rd, 2020"
3644,NULL,1,320,No,UAE,Dubai,JVC Jumeirah Village Circle,JVC District 12,NULL,3644,OFFERING DISCOUNTS TWO TOWERS,803-Ap-R-0040,"AED 79,000 /yr",apartment,NULL,"September 7th, 2020"
3645,1,2,610,No,UAE,Dubai,JVC Jumeirah Village Circle,JVC District 12,NULL,3645,FULLY FURNISHED STUDIO @22K,KBCH-JVC6-923,"AED 22,000 /yr",apartment,Yearly,"September 23rd, 2020"
3646,NULL,1,320,No,UAE,Dubai,JVC Jumeirah Village Circle,JVC District 12,NULL,3646,Burj Khalifa View || Fully Furnished || High Floor,454-Ap-R-0400,"AED 250,000 /yr",apartment,Biyearly,"September 22nd, 2020"
3647,1,2,610,No,UAE,Dubai,JVC Jumeirah Village Circle,JVC District 12,NULL,3647,OFFER !! OPP TO SCHOOL 2BR 38K CLOSED KITCEN CALL NOW AL WARQA,SNK SHAKTHI 043,"AED 38,000 /yr",apartment,Quarterly,"September 23rd, 2020"
3648,1,2,610,No,UAE,Dubai,JVC Jumeirah Village Circle,JVC District 12,NULL,3648,30DAYS FREE | BEAUTIFUL 2 BHK APT. // WITH LAUNDRY // HURRY UP!!,ZAH-TSQUARE6-FAH923,"AED 42,000 /yr",apartment,Yearly,"September 23rd, 2020"
3649,NULL,1,500,No,UAE,Dubai,Dubai Land,Dubai Residence Complex,NULL,3649,ZERO Commission! | 2 Months FREE,1161-Ap-R-0401,"AED 39,000 /yr",apartment,NULL,"September 23rd, 2020"
3650,2,1,607,No,UAE,Dubai,Deira,Al Muteena,NULL,3650,"Amazing Offer Rent 23K, Large 1 BHK in Greece Cluster Intl City, W/Bal  O5O8831807",1BHK Greece,"AED 23,000 /yr",apartment,Yearly,"September 23rd, 2020"
3651,1,2,"1,100",No,UAE,Dubai,Arjan,Syann Park 1,NULL,3651,"Multiple Chqs, Furnished, Full Sea View in Rimal 2",R889,"AED 160,000 /yr",apartment,NULL,"September 23rd, 2020"
3652,2,3,"1,237",No,UAE,Dubai,JBR Jumeirah Beach Residence,Amwaj,NULL,3652,Large Gym for Rent I 12 Cheques I 1 Month Free,R829,"AED 130,000 /yr",apartment,NULL,"September 23rd, 2020"
3653,2,3,"1,250",No,UAE,Dubai,Dubai Silicon Oasis,Platinum Residences 2,NULL,3653,Duplex on a High Floor with Amazing View,R386,"AED 88,000 /yr",apartment,NULL,"September 23rd, 2020"
3654,3,4,"1,900",No,UAE,Dubai,JBR Jumeirah Beach Residence,Murjan,NULL,3654,Impeccable Unit Large Living Room,R103,"AED 85,000 /yr",apartment,NULL,"September 23rd, 2020"
3655,4,5,"3,387",No,UAE,Dubai,Al Jaddaf,Culture Village,NULL,3655,"Amazing Location, Next to Metro",R1157,"AED 57,000 /yr",apartment,NULL,"September 23rd, 2020"
3656,NULL,1,356,No,UAE,Dubai,Arjan,NULL,NULL,3656,Lovely Sea View in Bahar 5  Jumeirah Beach,R41,"AED 95,000 /yr",apartment,NULL,"September 23rd, 2020"
3657,NULL,1,320,No,UAE,Dubai,JVC Jumeirah Village Circle,JVC District 12,NULL,3657,"Chiller free, pool view close to metro",R1001,"AED 75,000 /yr",apartment,NULL,"September 23rd, 2020"
3658,1,2,610,No,UAE,Dubai,JVC Jumeirah Village Circle,JVC District 12,NULL,3658,Affordable and Easy Access Studio for 12 Cheques,R737,"AED 25,000 /yr",apartment,NULL,"September 23rd, 2020"
3659,NULL,1,320,No,UAE,Dubai,JVC Jumeirah Village Circle,JVC District 12,NULL,3659,Well Maintained 2 Bedroom Apartment for Rent,R199,"AED 80,000 /yr",apartment,NULL,"September 23rd, 2020"
3660,1,2,610,No,UAE,Dubai,JVC Jumeirah Village Circle,JVC District 12,NULL,3660,Luxurious Apartment With Burj Fountain View,R521,"AED 62,000 /yr",apartment,NULL,"September 23rd, 2020"
3661,NULL,1,320,No,UAE,Dubai,JVC Jumeirah Village Circle,JVC District 12,NULL,3661,Luxury Furnished Duplex Apartment-All Inclusive,R272,"AED 145,000 /yr",apartment,NULL,"September 23rd, 2020"
3662,NULL,1,320,No,UAE,Dubai,JVC Jumeirah Village Circle,JVC District 12,NULL,3662,Magnificent Full fountain view 1 BHK,R940,"AED 110,000 /yr",apartment,NULL,"September 23rd, 2020"
3663,1,2,610,No,UAE,Dubai,JVC Jumeirah Village Circle,JVC District 12,NULL,3663,Cheerfull Full Fountain View 3BHK+Maid,R933,"AED 310,000 /yr",apartment,NULL,"September 23rd, 2020"
3664,NULL,1,320,No,UAE,Dubai,JVC Jumeirah Village Circle,JVC District 12,NULL,3664,Lovely Apartment Full Burj Khalifa and Fountaine View,R383,"AED 165,000 /yr",apartment,NULL,"September 23rd, 2020"
3665,1,2,610,No,UAE,Dubai,JVC Jumeirah Village Circle,JVC District 12,NULL,3665,6cheq offer AC free 1bhk flat near Mall of Emirates in 45k/6cheq,A1813646,"AED 45,000 /yr",apartment,Quarterly,"September 23rd, 2020"
3666,1,2,610,No,UAE,Dubai,JVC Jumeirah Village Circle,JVC District 12,NULL,3666,ELEGANT GLASS WINDOWS / 10 DAYS GRACE @35K-6CHQS,SER-JVC-923,"AED 35,000 /yr",apartment,Yearly,"September 23rd, 2020"
3667,NULL,1,320,No,UAE,Dubai,JVC Jumeirah Village Circle,JVC District 12,NULL,3667,SPACIOUS STUDIO FOR 10 DAYS GRACE @25K,SER-JVC-923,"AED 25,000 /yr",apartment,Yearly,"September 23rd, 2020"
3668,1,2,610,No,UAE,Dubai,JVC Jumeirah Village Circle,JVC District 12,NULL,3668,LIKE A BRAND NEW 1 BED APT @35K-6CHQS / 10 DAYS GRACE PERIOD,SER-JVC5-923,"AED 35,000 /yr",apartment,Yearly,"September 23rd, 2020"
3669,NULL,1,320,No,UAE,Dubai,JVC Jumeirah Village Circle,JVC District 12,NULL,3669,TRULY CHEAP STUDIO APT @25K / 10 DAYS GRACE,SER-JVC5-923,"AED 25,000 /yr",apartment,Yearly,"September 23rd, 2020"
3670,NULL,1,320,No,UAE,Dubai,JVC Jumeirah Village Circle,JVC District 12,NULL,3670,INCLUSIVE OF LOVELY AMENITIES @25K / STUDIO FOR 10 DAYS GRACE,SER-JVC3-923,"AED 25,000 /yr",apartment,Yearly,"September 23rd, 2020"
3671,1,2,610,No,UAE,Dubai,JVC Jumeirah Village Circle,JVC District 12,NULL,3671,LARGELY MADE KITCHEN / 1 BHK FOR 10DAYS GRACE PERIOD @35K-6CHQS,SER-JVC3-923,"AED 35,000 /yr",apartment,Yearly,"September 23rd, 2020"
3672,1,2,610,No,UAE,Dubai,JVC Jumeirah Village Circle,JVC District 12,NULL,3672,STUDIO IN EXPANSIVE AND FANCIABLE LAY-OUT @25K / 10 DAYS GRACE,SER-JVC16-923,"AED 25,000 /yr",apartment,Yearly,"September 23rd, 2020"
3673,NULL,1,320,No,UAE,Dubai,JVC Jumeirah Village Circle,JVC District 12,NULL,3673,AWE-INSPIRING BALCONY VIEW @35K-6CHQS / 1 BED FOR 10 DAYS GRACE,SER-JVC16-923,"AED 35,000 /yr",apartment,Yearly,"September 23rd, 2020"
3674,NULL,1,"4,810",Yes,UAE,Dubai,JVC Jumeirah Village Circle,JVC District 17,NULL,3674,GOOD-LOOKING 1 BED IN WHITE INTERIORS @35K-6CHQS / 10 DAYS GRACE,SER-JVC18-923,"AED 35,000 /yr",apartment,Yearly,"September 23rd, 2020"
3675,NULL,1,480,No,UAE,Dubai,JVC Jumeirah Village Circle,JVC District 17,NULL,3675,Big Size Chiller free Studio Dubailand,1377-Ap-R-0394,"AED 25,000 /yr",apartment,Quarterly,"September 23rd, 2020"
3676,NULL,1,450,Yes,UAE,Dubai,JVC Jumeirah Village Circle,JVC District 17,NULL,3676,"Residential 2 B/R in Deira, Naif Road No Commission Plus SPECIAL LIMITED OFFER - 3 MONTHS FREE.",SCFLAT-SKB,"AED 50,000 /yr",apartment,Quarterly,"September 22nd, 2020"
3677,NULL,1,683,No,UAE,Dubai,JVT Jumeirah Village Triangle,JVT District 4,NULL,3677,BRAND NEW 1 BR | KITCHEN EQUIPPED | MASSIVE  SPACIOUS | HUGE BALCONY,AZCO-6023-UM-SYANN-1BR-1,"AED 44,999 /yr",apartment,Quarterly,"September 23rd, 2020"
3678,NULL,1,480,Yes,UAE,Dubai,JVC Jumeirah Village Circle,JVC District 17,NULL,3678,High floor | No commission | 2 months free,1591701941,"AED 77,000 /yr",apartment,Monthly,"September 23rd, 2020"
3679,1,2,995,No,UAE,Dubai,JVC Jumeirah Village Circle,JVC District 11,NULL,3679,2 bedroom  Platinum Residence 2 Silicon Oasis,hksil_pltnm2,"AED 55,000 /yr",apartment,Quarterly,"September 22nd, 2020"
3680,2,3,"1,600",No,UAE,Dubai,Al Furjan,NULL,NULL,3680,Murjan amazing 3BR+Maid | Palm and Sea view,361-Ap-R-1967,"AED 109,999 /yr",apartment,Quarterly,"September 21st, 2020"
3681,1,2,"1,000",No,UAE,Dubai,Arjan,NULL,NULL,3681,"Luxurious 4BR, VACANT, Creek View, D1 Tower",A1776849,"AED 190,000 /yr",apartment,Yearly,"September 23rd, 2020"
3682,2,3,"2,422",No,UAE,Dubai,Dubai Investment Park,Dubai Investment Park 1,NULL,3682,PERFECT FAMILY HOME | BRAND NEW BUILDING,279-Ap-R-0113,"AED 20,999 /yr",apartment,Yearly,"September 23rd, 2020"
3683,1,2,"1,158",Yes,UAE,Dubai,The Palm Jumeirah,NULL,NULL,3683,DESIRABLE PRICE FOR A GOOD SIZED STUDIO @25K / 10 DAYS GRACE,SER-JVC18-923,"AED 25,000 /yr",apartment,Yearly,"September 23rd, 2020"
3684,1,2,941,No,UAE,Dubai,Dubai Marina,Marina Park,NULL,3684,MATCHLESS INTERIORS / 1 BED FOR 10DAYDS GRACE PERIOD @35K-6CHQS,SER-JVC4-923,"AED 35,000 /yr",apartment,Yearly,"September 23rd, 2020"
3685,1,2,800,No,UAE,Dubai,JLT Jumeirah Lake Towers,Lake Almas East,NULL,3685,OPEN-KITCHEN TYPE @25K / UNFURNISHED FOR 10 DAYS GRACE,SER-JVC4-923,"AED 25,000 /yr",apartment,Yearly,"September 23rd, 2020"
3686,NULL,1,460,No,UAE,Dubai,Business Bay,Damac Majestine,NULL,3686,SPACIOUSLY MADE 1 BED IN SERENA @35K / 10 DAYS GRACE PERIOD,SER-JVC9-923,"AED 35,000 /yr",apartment,Yearly,"September 23rd, 2020"
3687,NULL,1,480,Yes,UAE,Dubai,JVC Jumeirah Village Circle,JVC District 17,NULL,3687,10 DAYS GRACE @25K / STUDIO IN CLASSY GLASS WINDOWS,SER-JVC9-923,"AED 25,000 /yr",apartment,Yearly,"September 23rd, 2020"
3688,1,2,780,No,UAE,Dubai,International City,Emirates Cluster,NULL,3688,STRESS-FREE COMMUNITY  VIEW @25K / IN 10 DAYS GRACE,SER-JVC6-923,"AED 25,000 /yr",apartment,Yearly,"September 23rd, 2020"
3689,2,2,"1,200",No,UAE,Dubai,Dubai Sports City,Oasis Tower 1,NULL,3689,1 BED WITH SOPHISTICATED LAY-OUT / 10 DAYS GRACE PERIOD @35K-6CHQS,SER-JVC6-923,"AED 35,000 /yr",apartment,Yearly,"September 23rd, 2020"
3690,NULL,1,365,No,UAE,Dubai,Dubai Investment Park,Dubai Investment Park 1,NULL,3690,WIDELY OPEN STUDIO APT. / 10 DAYS GRACE @25K,SER-JVC12-923,"AED 25,000 /yr",apartment,Yearly,"September 23rd, 2020"
3691,2,3,"1,550",No,UAE,Dubai,Barsha Heights (Tecom),NULL,NULL,3691,10 DAYS GRACE PERIOD / 1 BED IN JVC @35K,SER-JVC12-923,"AED 35,000 /yr",apartment,Yearly,"September 23rd, 2020"
3692,2,2,"1,450",No,UAE,Dubai,Barsha Heights (Tecom),NULL,NULL,3692,MASSIVE 1 BED WITH HUGE BALCONY / 10 DAYS GRACE @35K-6CHQS,SER-JVC1-923,"AED 35,000 /yr",apartment,Yearly,"September 23rd, 2020"
3693,1,2,780,No,UAE,Dubai,International City,International City Phase-2,NULL,3693,STUDIO FORMAT APT @25K / NOTABLE AND CHEAP,SER-JVC1-923,"AED 25,000 /yr",apartment,Yearly,"September 23rd, 2020"
3694,2,2,800,No,UAE,Dubai,Bur Dubai,NULL,NULL,3694,FRIENDLY COMMUNITY / WARMLY MADE 1 BED @35K-6CHQS,SER-JVC15-923,"AED 35,000 /yr",apartment,Yearly,"September 23rd, 2020"
3695,2,3,"1,650",No,UAE,Dubai,Barsha Heights (Tecom),NULL,NULL,3695,STUDIO IN A VERY AIRY SPACE @25K / 10 DAYS GRACE,SER-JVC15-923,"AED 25,000 /yr",apartment,Yearly,"September 23rd, 2020"
3696,2,2,"1,200",No,UAE,Dubai,Dubai Sports City,Victory Heights,NULL,3696,REASONABLY PRICED 1 STUDIO @25K / 10 DAYS GRACE,SER-JVC8-923,"AED 25,000 /yr",apartment,Yearly,"September 23rd, 2020"
3697,2,2,"1,375",No,UAE,Dubai,Barsha Heights (Tecom),NULL,NULL,3697,10 DAYS GRACE PERIOD / HALL-TYPE KITCHEN / 1 BED @35K,SER-JVC8-923,"AED 35,000 /yr",apartment,Yearly,"September 23rd, 2020"
3698,2,3,"1,500",No,UAE,Dubai,Barsha Heights (Tecom),NULL,NULL,3698,10 DAYS GRACE PERIOD / CHEAPEST 1 BED @35K-6CHQS,SER-JVC13-923,"AED 35,000 /yr",apartment,Yearly,"September 23rd, 2020"
3699,2,2,"1,400",No,UAE,Dubai,Barsha Heights (Tecom),NULL,NULL,3699,FAIRLY PRICED APT / STUDIO @25K / 10 DAYS GRACE,SER-JVC13-923,"AED 25,000 /yr",apartment,Yearly,"September 23rd, 2020"
3700,2,3,"1,550",No,UAE,Dubai,Barsha Heights (Tecom),Two Towers,NULL,3700,PAY 6CHQS | LUXURIOUSLY FURNISHED | SERVICED HOTEL APT.,MIL-JVC4-923,"AED 30,000 /yr",apartment,Quarterly,"September 23rd, 2020"
3701,1,2,800,No,UAE,Dubai,Barsha Heights (Tecom),NULL,NULL,3701,PAY 6CHQS | SERVICED HOTEL APT  | LARGE AND FURNISHED STUDIO,MIL-JVC1-923,"AED 30,000 /yr",apartment,Quarterly,"September 23rd, 2020"
3702,1,2,850,No,UAE,Dubai,Barsha Heights (Tecom),NULL,NULL,3702,WELL-FURNISHED STUDIO | SERVICED HOTEL APT.,MIL-JVC7-HAS923,"AED 28,000 /yr",apartment,Yearly,"September 23rd, 2020"
3703,2,2,"1,500",No,UAE,Dubai,Barsha Heights (Tecom),NULL,NULL,3703,From owner - Brand new studio with balcony Al Jawhara Tower,NULL,"AED 28,000 /yr",apartment,Yearly,"September 23rd, 2020"
3704,1,2,"1,025",No,UAE,Dubai,Barsha Heights (Tecom),NULL,NULL,3704,HOTEL APT SERVICED  | FULLY FURNISHED STUDIO,MIL-JVC4-HAS923,"AED 28,000 /yr",apartment,Yearly,"September 23rd, 2020"
3705,1,2,"1,050",No,UAE,Dubai,Barsha Heights (Tecom),NULL,NULL,3705,995 Sq.Ft 1 BR | 2 BALCONIES | READY TO MOVE,1035-Ap-R-7790,"AED 35,000/- (1 Cheque)",apartment,Quarterly,"September 23rd, 2020"
3706,2,2,"1,645",No,UAE,Dubai,The Views,Golf Towers,NULL,3706,BRAND NEW | BALCONY | ROAD FACING @75K,TOP-FURJAN20-AFT923,"AED 75,000 /yr",apartment,Yearly,"September 23rd, 2020"
